PMCID,female,male,female_percentage,male_percentage
PMC2613415,18,82,,
PMC2613930,25,19,,
PMC2614520,,,,
PMC2614986,51,35,,
PMC2615278,,,,
PMC2615327,54,52,,
PMC2615342,18,26,,
PMC2622765,,,,
PMC2627871,33,,,
PMC2628914,,3,,
PMC2629372,,,,
PMC2629847,,4,,
PMC2631222,10,10,,
PMC2631500,,,,
PMC2631588,223,,,
PMC2633338,66,,,
PMC2634691,58,,,
PMC2635543,18,,,
PMC2635936,36,36,,
PMC2637294,28,22,,
PMC2638468,212,,,
PMC2639379,2128,,,
PMC2640154,1241,,,
PMC2642631,3,6,,
PMC2642805,208,,,
PMC2642916,,52,,
PMC2643048,,,,51
PMC2643316,13,12,,
PMC2644265,,390,,
PMC2644290,460,508,,
PMC2646073,41,59,,
PMC2646736,90,,,
PMC2646790,6,,,
PMC2648627,39,,,
PMC2649160,12,2,,
PMC2649223,,63,,
PMC2649853,,143,,
PMC2651169,322,,,
PMC2652107,762,,,
PMC2652418,35,5,,
PMC2652716,,20,,
PMC2653736,232,,,
PMC2653758,41,,,59
PMC2656245,14,,,
PMC2656459,,,,
PMC2656467,136,68,,
PMC2656961,95,9,,
PMC2657291,,18,,
PMC2657772,15,,,
PMC2658543,216,,,
PMC2659803,8,10,,
PMC2660352,123,,,
PMC2661578,,,,
PMC2661785,23,91,,
PMC2661912,,,,
PMC2662823,8,21,,
PMC2663039,,,,
PMC2664450,61,,,
PMC2664799,561,380,,
PMC2665156,,7,,
PMC2667181,12,,,
PMC2667413,2,3,,
PMC2668625,,,,
PMC2668626,,30,,
PMC2669094,32,34,,
PMC2669506,12,6,,
PMC2670825,91,118,,
PMC2670830,4,4,,
PMC2671041,6,5,,
PMC2671055,,,,
PMC2671494,36,,,
PMC2671513,13,15,,
PMC2671822,48,22,,
PMC2671843,11,12,,
PMC2673225,4,,,
PMC2675006,28,8,,
PMC2676289,10,10,,
PMC2678793,13,10,,
PMC2679726,4,4,,
PMC2680596,,,,
PMC2680865,24,21,,
PMC2680904,547,,,
PMC2681404,62,44,,
PMC2682582,12,10,,
PMC2683575,35,44,,
PMC2684668,10,,,
PMC2685118,87,17,,
PMC2685124,25,,,
PMC2685223,53,,,
PMC2685262,209,,,
PMC2687006,7,14,,
PMC2687432,,,,
PMC2687688,36,41,,
PMC2688179,17,13,,
PMC2688231,12,,,
PMC2688612,,167,,
PMC2690844,150,,,
PMC2693546,,,,
PMC2693618,,13,,
PMC2693854,9,15,,
PMC2694986,,3,,
PMC2695417,,80,,
PMC2695430,,,,
PMC2695623,9,5,,
PMC2697279,10,,,
PMC2698198,10,17,,
PMC2698925,,,,
PMC2699031,29,,,
PMC2699331,10,19,,
PMC2699475,,193,,
PMC2699807,4,3,,
PMC2699854,13,8,,
PMC2700110,,,,
PMC2700117,,16,,
PMC2700266,8,7,,
PMC2700275,,,,
PMC2700675,121,,,
PMC2700850,630,542,,
PMC2700867,21,75,,73
PMC2701067,7,5,,
PMC2701917,7,10,,
PMC2701987,7,6,,
PMC2702280,,,,
PMC2702351,,,,
PMC2702396,204,,,
PMC2703263,5,5,,
PMC2704511,14,14,,
PMC2704554,7,,,
PMC2705656,13,10,,
PMC2705682,6,,,
PMC2705698,,26,,
PMC2708178,16,13,,
PMC2709426,141,117,,
PMC2709655,362,349,,
PMC2713485,12,47,,
PMC2714123,,,,
PMC2714136,6,11,,
PMC2714306,5,5,,
PMC2715165,,8,,
PMC2716517,12,12,,
PMC2717390,,,,
PMC2718505,300,,,
PMC2719799,,13,,
PMC2719805,,,,
PMC2719809,5,5,,
PMC2720948,314,253,,
PMC2721298,,,,80
PMC2721872,,,,
PMC2721967,,,,
PMC2722906,,28,,
PMC2724519,276,,,
PMC2724686,,726,,
PMC2725032,23,,,
PMC2728725,36,,,
PMC2729373,11,,,
PMC2729378,,5,,
PMC2729732,,36,,
PMC2729945,,,,
PMC2730610,1,2,,
PMC2730749,3,9,,
PMC2731068,,,,
PMC2731524,11,11,,
PMC2731525,44,,,
PMC2731528,,,,
PMC2731884,,,,
PMC2734006,51,147,,
PMC2734180,,,,69
PMC2735155,,53,,
PMC2735627,4,3,,
PMC2735632,5,5,,
PMC2735777,16,9,,
PMC2735781,,10,,
PMC2736169,55,,,
PMC2736586,,,,
PMC2739217,,,,
PMC2739531,24,,,
PMC2741099,,,,
PMC2743662,120,50,,
PMC2743699,,13,,
PMC2743806,18,12,,
PMC2745143,36,62,,
PMC2745790,31,4,,
PMC2747557,11,33,,
PMC2747567,25,,,
PMC2748701,,14,,
PMC2749167,11,7,,
PMC2750120,,23,,
PMC2750122,21,,,
PMC2750144,2,21,,
PMC2752725,297,,,
PMC2754114,,1,,
PMC2754526,,,,
PMC2754982,341,166,,
PMC2755482,,,,
PMC2758396,57,4,,43
PMC2759542,11,7,,
PMC2759869,,35,,
PMC2759902,971,754,,
PMC2760418,,100,,
PMC2760533,,,,
PMC2761488,9,10,,
PMC2761798,20,,,
PMC2761845,386,,,
PMC2762813,,,,
PMC2762993,37,44,,
PMC2763125,2,5,,
PMC2763178,,,,
PMC2763227,,,,
PMC2765642,13,,,
PMC2765643,44,3,,
PMC2765953,4,87,,
PMC2765995,,6,,
PMC2766251,100,,,
PMC2766502,120,,,
PMC2770575,15,,,
PMC2771076,3550,,,
PMC2771422,2,,,
PMC2774313,10,,,
PMC2774463,15,9,,
PMC2774516,59,43,,
PMC2774638,,,,
PMC2775131,9,,,
PMC2775856,25,38,,
PMC2775922,,115,,
PMC2776007,,40,,
PMC2776591,3,,,
PMC2777178,,302,,
PMC2778425,,145,,
PMC2778454,88,,,
PMC2778508,5681,,,
PMC2778520,,74,,
PMC2778546,,97,,55
PMC2779370,,14,,
PMC2779385,,,,
PMC2779792,5,,,
PMC2779795,65,,,
PMC2780981,148,,,
PMC2780996,50,,,
PMC2782206,275,49,,
PMC2782987,52,70,,
PMC2782988,140,137,,
PMC2782989,55,,,
PMC2785475,,,,
PMC2786104,,,,
PMC2787292,19,3,,
PMC2788130,81,16,,
PMC2788578,1198,,,
PMC2789082,107,,,
PMC2789083,,126,,
PMC2789332,4,,,
PMC2790514,518,,,
PMC2790848,49,,,
PMC2791471,,,,
PMC2792158,11,24,,
PMC2792192,,5,,
PMC2792712,467,334,,
PMC2792735,,,,
PMC2792850,68,66,,
PMC2793018,,,,
PMC2794184,,,,
PMC2794867,192,,,
PMC2796875,57,100,,
PMC2797525,,,,
PMC2797529,,,,
PMC2797562,45,,,68
PMC2797621,,29,,
PMC2797791,20,,,
PMC2797795,,,,
PMC2797998,40,,,
PMC2798768,10,40,,
PMC2799650,57,60,,
PMC2801322,,12,,
PMC2801519,60,93,,
PMC2801590,26,14,,
PMC2803167,298,,,
PMC2803735,9,,,
PMC2803737,9,,,
PMC2804048,,32,,
PMC2804609,30,,,
PMC2805625,50,9,,
PMC2806159,2,2,,
PMC2806945,2758,6058,,
PMC2807025,48,34,,
PMC2807418,,,,
PMC2807615,,,,64
PMC2807935,,12,,
PMC2808583,12,,,
PMC2808737,,,,
PMC2809238,26,,,
PMC2810292,101,32,,
PMC2811245,158,169,,
PMC2811502,,,,
PMC2811723,,,,
PMC2811917,68,240,,
PMC2813232,,,,
PMC2813301,38,77,,
PMC2813544,,139,,
PMC2814135,,1,,
PMC2814230,,,,
PMC2815318,50,198,,
PMC2815962,103,62,,
PMC2816200,,,,
PMC2816295,13,16,,
PMC2817012,21,24,,
PMC2817075,15,,,
PMC2817731,36,36,,
PMC2817748,,,,
PMC2820025,52,35,,
PMC2820083,,,,
PMC2821620,,,,
PMC2822311,10,,,
PMC2822861,,,,
PMC2823662,,22,,
PMC2823778,,2,,
PMC2825541,9704,,,
PMC2826733,,,,
PMC2826781,30,,,
PMC2827491,322,,,
PMC2828644,11,3,,
PMC2829132,,17,,
PMC2830458,,,,
PMC2831834,33,,,
PMC2832731,52,,,
PMC2833250,46,62,,
PMC2834121,,,,
PMC2834142,,,,
PMC2834610,,,,
PMC2835672,8,8,,
PMC2835854,1561,1471,,
PMC2836880,31,24,,
PMC2837620,,,,
PMC2837745,,7,,
PMC2837864,,44,,
PMC2838794,,,,
PMC2839983,3324,,,
PMC2841167,19,,,
PMC2841190,,22,,
PMC2841675,,,,
PMC2843668,37,38,,
PMC2843674,66,64,,
PMC2844396,,,,
PMC2845026,,,,
PMC2845088,65,45,,
PMC2845622,,,,
PMC2845812,,50,,
PMC2847603,15,,,
PMC2847700,35,,,65
PMC2847964,60,,,
PMC2850251,11,13,,
PMC2851677,21,32,,
PMC2852401,251,245,,
PMC2853263,,,,
PMC2854532,,,,
PMC2855523,5,7,,
PMC2856368,10,17,,
PMC2857269,8,16,,
PMC2857643,214,161,,
PMC2857827,39,108,,
PMC2858094,1890,,,
PMC2858096,,,,
PMC2858200,,,,
PMC2858721,22,5,,
PMC2860766,26,12,,
PMC2861476,13,6,,
PMC2861642,,173,,
PMC2861706,,,,
PMC2862246,25,25,,
PMC2862443,,32,,
PMC2864237,8,9,,
PMC2865508,10,,,
PMC2865766,371,1095,,
PMC2866502,4,5,,
PMC2866734,31,24,,
PMC2868308,,26,,
PMC2868786,102,,,
PMC2869532,,234,,
PMC2871853,,,,
PMC2872503,,18,,
PMC2872640,,23,,
PMC2872665,1,,,
PMC2872807,8,14,,
PMC2873426,12,32,,
PMC2873446,12,18,,
PMC2873499,,69,,
PMC2873570,,,,
PMC2873902,39,36,,
PMC2873933,6,15,,
PMC2873949,2,3,,
PMC2873994,110,,,
PMC2874782,15,20,,
PMC2875661,54,,,
PMC2876066,180,,,
PMC2876067,662,,,
PMC2876082,5,21,,
PMC2876140,25,25,,
PMC2877049,2,3,,
PMC2877671,22,,,77
PMC2878333,205,194,,
PMC2879238,20,,,
PMC2881052,80,55,,
PMC2883077,8,12,,
PMC2884178,1,5,,
PMC2884338,45,,,55
PMC2885784,6,4,,
PMC2886066,,,,
PMC2886605,6,,,
PMC2886839,,,,
PMC2887490,7,,,
PMC2887515,14,16,,
PMC2887848,,,,
PMC2888586,31,,,
PMC2888741,,,,
PMC2889678,12,22,,
PMC2889764,89,,,
